"id"	"Raw.file"	"Reporter.ion"
"i1"	"wAP329"	"Reporter.intensity.1"
"i2"	"wAP329"	"Reporter.intensity.2"
"i3"	"wAP329"	"Reporter.intensity.3"
"i4"	"wAP329"	"Reporter.intensity.4"
"i5"	"wAP329"	"Reporter.intensity.5"
"i6"	"wAP329"	"Reporter.intensity.6"
"i7"	"wAP329"	"Reporter.intensity.7"
"i8"	"wAP329"	"Reporter.intensity.8"
"i9"	"wAP329"	"Reporter.intensity.9"
"i10"	"wAP329"	"Reporter.intensity.10"
"i11"	"wAP329"	"Reporter.intensity.11"
"i12"	"wAP329"	"Reporter.intensity.12"
"i13"	"wAP329"	"Reporter.intensity.13"
"i14"	"wAP329"	"Reporter.intensity.14"
"i15"	"wAP329"	"Reporter.intensity.15"
"i16"	"wAP329"	"Reporter.intensity.16"
"i17"	"wAP330"	"Reporter.intensity.1"
"i18"	"wAP330"	"Reporter.intensity.2"
"i19"	"wAP330"	"Reporter.intensity.3"
"i20"	"wAP330"	"Reporter.intensity.4"
"i21"	"wAP330"	"Reporter.intensity.5"
"i22"	"wAP330"	"Reporter.intensity.6"
"i23"	"wAP330"	"Reporter.intensity.7"
"i24"	"wAP330"	"Reporter.intensity.8"
"i25"	"wAP330"	"Reporter.intensity.9"
"i26"	"wAP330"	"Reporter.intensity.10"
"i27"	"wAP330"	"Reporter.intensity.11"
"i28"	"wAP330"	"Reporter.intensity.12"
"i29"	"wAP330"	"Reporter.intensity.13"
"i30"	"wAP330"	"Reporter.intensity.14"
"i31"	"wAP330"	"Reporter.intensity.15"
"i32"	"wAP330"	"Reporter.intensity.16"
"i33"	"wAP331"	"Reporter.intensity.1"
"i34"	"wAP331"	"Reporter.intensity.2"
"i35"	"wAP331"	"Reporter.intensity.3"
"i36"	"wAP331"	"Reporter.intensity.4"
"i37"	"wAP331"	"Reporter.intensity.5"
"i38"	"wAP331"	"Reporter.intensity.6"
"i39"	"wAP331"	"Reporter.intensity.7"
"i40"	"wAP331"	"Reporter.intensity.8"
"i41"	"wAP331"	"Reporter.intensity.9"
"i42"	"wAP331"	"Reporter.intensity.10"
"i43"	"wAP331"	"Reporter.intensity.11"
"i44"	"wAP331"	"Reporter.intensity.12"
"i45"	"wAP331"	"Reporter.intensity.13"
"i46"	"wAP331"	"Reporter.intensity.14"
"i47"	"wAP331"	"Reporter.intensity.15"
"i48"	"wAP331"	"Reporter.intensity.16"
"i49"	"wAP332"	"Reporter.intensity.1"
"i50"	"wAP332"	"Reporter.intensity.2"
"i51"	"wAP332"	"Reporter.intensity.3"
"i52"	"wAP332"	"Reporter.intensity.4"
"i53"	"wAP332"	"Reporter.intensity.5"
"i54"	"wAP332"	"Reporter.intensity.6"
"i55"	"wAP332"	"Reporter.intensity.7"
"i56"	"wAP332"	"Reporter.intensity.8"
"i57"	"wAP332"	"Reporter.intensity.9"
"i58"	"wAP332"	"Reporter.intensity.10"
"i59"	"wAP332"	"Reporter.intensity.11"
"i60"	"wAP332"	"Reporter.intensity.12"
"i61"	"wAP332"	"Reporter.intensity.13"
"i62"	"wAP332"	"Reporter.intensity.14"
"i63"	"wAP332"	"Reporter.intensity.15"
"i64"	"wAP332"	"Reporter.intensity.16"
"i65"	"wAP333"	"Reporter.intensity.1"
"i66"	"wAP333"	"Reporter.intensity.2"
"i67"	"wAP333"	"Reporter.intensity.3"
"i68"	"wAP333"	"Reporter.intensity.4"
"i69"	"wAP333"	"Reporter.intensity.5"
"i70"	"wAP333"	"Reporter.intensity.6"
"i71"	"wAP333"	"Reporter.intensity.7"
"i72"	"wAP333"	"Reporter.intensity.8"
"i73"	"wAP333"	"Reporter.intensity.9"
"i74"	"wAP333"	"Reporter.intensity.10"
"i75"	"wAP333"	"Reporter.intensity.11"
"i76"	"wAP333"	"Reporter.intensity.12"
"i77"	"wAP333"	"Reporter.intensity.13"
"i78"	"wAP333"	"Reporter.intensity.14"
"i79"	"wAP333"	"Reporter.intensity.15"
"i80"	"wAP333"	"Reporter.intensity.16"
"i81"	"wAP334"	"Reporter.intensity.1"
"i82"	"wAP334"	"Reporter.intensity.2"
"i83"	"wAP334"	"Reporter.intensity.3"
"i84"	"wAP334"	"Reporter.intensity.4"
"i85"	"wAP334"	"Reporter.intensity.5"
"i86"	"wAP334"	"Reporter.intensity.6"
"i87"	"wAP334"	"Reporter.intensity.7"
"i88"	"wAP334"	"Reporter.intensity.8"
"i89"	"wAP334"	"Reporter.intensity.9"
"i90"	"wAP334"	"Reporter.intensity.10"
"i91"	"wAP334"	"Reporter.intensity.11"
"i92"	"wAP334"	"Reporter.intensity.12"
"i93"	"wAP334"	"Reporter.intensity.13"
"i94"	"wAP334"	"Reporter.intensity.14"
"i95"	"wAP334"	"Reporter.intensity.15"
"i96"	"wAP334"	"Reporter.intensity.16"
